# n_thermal_neutrons=5000
event_id,fission_time_ns,n_prompt_neutrons,n_prompt_gammas,fragment_A_PDG,fragment_B_PDG,n_total_chain_tracks,n_chain_neutrons,n_chain_gammas,n_chain_betas,n_chain_alphas,n_chain_ions,n_chain_other
264,45725.373199,4,5,1000380940,1000541370,3431,5,6,3411,,6,3
740,45725.411345,1,13,1000360900,1000561440,2044,2,22,2000,,16,4
769,45725.410839,3,10,1000411020,1000511300,2229,4,18,2189,,14,4
1776,45725.372349,0,8,1000561440,1000360910,1790,1,18,1748,,17,6
3213,45725.389849,3,7,1000521330,1000400990,2269,4,15,2228,,16,6
4011,45725.316605,1,6,1000521370,1000400970,380,2,10,352,,11,5
4091,45725.468105,3,11,1000360890,1000561430,3505,4,17,3462,,15,7
4351,45725.523436,1,5,1000551420,1000370920,2772,2,7,2749,,9,5
4652,45725.357471,1,11,1000400990,1000521350,3081,2,23,3031,,19,6
4740,45725.499695,2,13,1000541360,1000380970,752,3,19,714,,12,4
4790,45725.537253,0,9,1000370960,1000551390,3500,1,15,3468,,11,5
