event_id,detector_id,track_id,particle,creator_process,entry_time_ns,energy_dep_MeV
590,EJ309-15,2058,e-,compt,45726.995783,0.006095
590,EJ309-15,3,gamma,nFissionHP,45726.944236,0.000009
2041,LaBr3-0,194,e-,phot,1104484501549.701172,0.028849
2041,LaBr3-0,195,e-,phot,1104484501549.701172,0.004190
2041,LaBr3-0,196,e-,phot,1104484501549.701172,0.000526
2041,LaBr3-0,197,e-,phot,1104484501549.701172,0.000433
2041,LaBr3-0,199,e-,phot,1104484501549.701172,0.000045
2041,LaBr3-0,200,e-,phot,1104484501549.701172,0.000065
2041,LaBr3-0,201,e-,phot,1104484501549.701172,0.000068
2041,LaBr3-0,202,e-,phot,1104484501549.701172,0.000030
2041,LaBr3-0,203,e-,phot,1104484501549.701172,0.000063
2041,LaBr3-0,204,e-,phot,1104484501549.701172,0.000010
2041,LaBr3-0,205,e-,phot,1104484501549.701172,0.000048
2041,LaBr3-0,206,e-,phot,1104484501549.701172,0.000026
2041,LaBr3-0,207,e-,phot,1104484501549.701172,0.000010
2041,LaBr3-0,208,e-,phot,1104484501549.701172,0.000013
2041,LaBr3-0,209,e-,phot,1104484501549.701172,0.000010
2041,LaBr3-0,210,e-,phot,1104484501549.701172,0.000013
2041,LaBr3-0,211,e-,phot,1104484501549.701172,0.000010
2041,LaBr3-0,192,gamma,RadioactiveDecay,1104484501549.700928,0.000335
3028,EJ309-47,16195,proton,hadElastic,45750.838777,1.010589
3028,EJ309-47,16196,proton,hadElastic,45751.022193,0.495523
3028,EJ309-47,2,neutron,nFissionHP,45750.051522,0.014737
3028,EJ309-47,16197,proton,hadElastic,45753.882218,0.440873
3028,EJ309-42,9,gamma,nFissionHP,45727.074599,0.000014
3028,EJ309-42,15965,e-,compt,45727.196323,0.017063
3028,EJ309-5,3426,e-,RadioactiveDecay,1231954474900.247559,0.979424
4095,EJ309-30,200,e-,compt,45727.150743,0.042255
4095,EJ309-30,201,e-,compt,45727.150743,0.000273
4095,EJ309-30,3,gamma,nFissionHP,45727.052721,0.000018
5399,EJ309-34,2,neutron,nFissionHP,247936.660967,0.000000
5399,EJ309-3,26641,proton,hadElastic,45759.375506,0.646992
5399,EJ309-3,26642,proton,hadElastic,45759.997635,0.382722
5399,EJ309-3,2,neutron,nFissionHP,45757.410845,0.128233
5399,LaBr3-0,12298,e-,phot,45726.542911,0.151806
5399,LaBr3-0,12728,e-,phot,45726.543441,0.019978
5399,LaBr3-0,12850,e-,phot,45726.543507,0.006347
5399,LaBr3-0,12851,e-,phot,45726.543507,0.003514
5399,LaBr3-0,12852,e-,phot,45726.543507,0.000068
5399,LaBr3-0,12853,e-,phot,45726.543507,0.000617
5399,LaBr3-0,12854,e-,phot,45726.543507,0.000526
5399,LaBr3-0,12855,e-,phot,45726.543507,0.000068
5399,LaBr3-0,12856,e-,phot,45726.543507,0.000030
5399,LaBr3-0,12857,e-,phot,45726.543507,0.000060
5399,LaBr3-0,12858,e-,phot,45726.543507,0.000065
5399,LaBr3-0,12859,e-,phot,45726.543507,0.000060
5399,LaBr3-0,12860,e-,phot,45726.543507,0.000026
5399,LaBr3-0,12861,e-,phot,45726.543507,0.000013
5399,LaBr3-0,12864,e-,phot,45726.543507,0.000013
5399,LaBr3-0,12865,e-,phot,45726.543507,0.000013
5399,LaBr3-0,12729,gamma,phot,45726.543441,0.000338
5399,LaBr3-0,12730,e-,phot,45726.543441,0.001444
5399,LaBr3-0,12731,e-,phot,45726.543441,0.000057
5399,LaBr3-0,12732,e-,phot,45726.543441,0.000030
5399,LaBr3-0,12299,gamma,phot,45726.542911,0.000117
5399,LaBr3-0,12300,e-,phot,45726.542911,0.004247
5399,LaBr3-0,12302,e-,phot,45726.542911,0.000065
5399,LaBr3-0,12303,e-,phot,45726.542911,0.000620
5399,LaBr3-0,12304,e-,phot,45726.542911,0.000134
5399,LaBr3-0,12305,e-,phot,45726.542911,0.000010
5399,LaBr3-0,12306,e-,phot,45726.542911,0.000080
5399,LaBr3-0,12307,e-,phot,45726.542911,0.000060
5399,LaBr3-0,12308,e-,phot,45726.542911,0.000086
5399,LaBr3-0,12862,e-,phot,45726.543507,0.000013
5399,LaBr3-0,2815,e-,compt,45726.509185,0.128168
5399,LaBr3-0,12863,e-,phot,45726.543507,0.000063
5399,LaBr3-0,2816,e-,compt,45726.509185,0.000060
5399,LaBr3-0,10,gamma,nFissionHP,45726.388320,0.000224
6231,LaBr3-0,2173,e-,phot,45726.431157,0.093387
6231,LaBr3-0,2175,e-,phot,45726.431157,0.000102
6231,LaBr3-0,2176,e-,phot,45726.431157,0.000526
6231,LaBr3-0,2177,e-,phot,45726.431157,0.000866
6231,LaBr3-0,2178,e-,phot,45726.431157,0.000013
6231,LaBr3-0,2179,e-,phot,45726.431157,0.000068
6231,LaBr3-0,2180,e-,phot,45726.431157,0.000060
6231,LaBr3-0,2181,e-,phot,45726.431157,0.000064
6231,LaBr3-0,2182,e-,phot,45726.431157,0.000060
6231,LaBr3-0,2183,e-,phot,45726.431157,0.000060
6231,LaBr3-0,2184,e-,phot,45726.431157,0.000086
6231,LaBr3-0,2185,e-,phot,45726.431157,0.000013
6231,LaBr3-0,2174,e-,phot,45726.431157,0.004044
6231,LaBr3-0,7,gamma,nFissionHP,45726.427761,0.000307
6234,EJ309-8,5504,e-,compt,45727.118922,0.223548
6234,EJ309-8,5505,e-,compt,45727.118922,0.000256
6234,EJ309-8,5,gamma,nFissionHP,45726.952727,0.000035
6234,EJ309-20,126,e-,compt,107113646651976.671875,0.113988
6234,EJ309-20,127,e-,compt,107113646651976.734375,0.015598
6234,EJ309-20,128,e-,compt,107113646651976.765625,0.006183
6234,EJ309-20,129,e-,compt,107113646651976.796875,0.012655
6234,EJ309-20,130,e-,compt,107113646651976.796875,0.000256
6234,EJ309-20,131,e-,compt,107113646651976.875000,0.028123
6234,EJ309-20,125,gamma,RadioactiveDecay,107113646651976.546875,0.000101
7189,EJ309-2,76,e-,phot,522469020685889.812500,0.030334
7189,EJ309-2,77,e-,phot,522469020685889.812500,0.000256
7189,EJ309-2,74,gamma,RadioactiveDecay,522469020685889.687500,0.000032
8624,EJ309-35,6,gamma,nFissionHP,45727.004305,0.000009
8624,EJ309-35,2740,e-,compt,45727.123609,0.010485
9366,EJ309-0,142,e-,compt,1272456810074.823486,0.261690
9366,EJ309-0,143,e-,compt,1272456810074.823486,0.000273
9366,EJ309-17,144,e-,compt,1272456810076.189209,0.083375
9366,EJ309-17,141,gamma,RadioactiveDecay,1272456810076.182861,0.000009
9366,EJ309-0,141,gamma,RadioactiveDecay,1272456810074.811523,0.000018
9882,LaBr3-0,5607,e-,phot,45726.501255,0.086798
9882,LaBr3-0,6132,e-,phot,45726.502038,0.019560
9882,LaBr3-0,6145,e-,phot,45726.502097,0.011463
9882,LaBr3-0,6146,e-,phot,45726.502097,0.000024
9882,LaBr3-0,6172,e-,phot,45726.502098,0.000641
9882,LaBr3-0,6173,e-,phot,45726.502098,0.000454
9882,LaBr3-0,6174,e-,phot,45726.502098,0.000046
9882,LaBr3-0,6175,e-,phot,45726.502098,0.000063
9882,LaBr3-0,6176,e-,phot,45726.502098,0.000068
9882,LaBr3-0,6177,e-,phot,45726.502098,0.000060
9882,LaBr3-0,6147,gamma,phot,45726.502097,0.000143
9882,LaBr3-0,6148,e-,phot,45726.502097,0.000102
9882,LaBr3-0,6149,e-,phot,45726.502097,0.000043
9882,LaBr3-0,6150,e-,phot,45726.502097,0.000056
9882,LaBr3-0,6133,gamma,phot,45726.502038,0.000087
9882,LaBr3-0,6134,e-,phot,45726.502038,0.000027
9882,LaBr3-0,6135,e-,phot,45726.502038,0.000044
9882,LaBr3-0,6136,e-,phot,45726.502038,0.000043
9882,LaBr3-0,5608,gamma,phot,45726.501255,0.000117
9882,LaBr3-0,5609,e-,phot,45726.501255,0.004173
9882,LaBr3-0,5610,e-,phot,45726.501255,0.000637
9882,LaBr3-0,5611,e-,phot,45726.501255,0.000541
9882,LaBr3-0,5612,e-,phot,45726.501255,0.000080
9882,LaBr3-0,5613,e-,phot,45726.501255,0.000057
9882,LaBr3-0,5614,e-,phot,45726.501255,0.000065
9882,LaBr3-0,5615,e-,phot,45726.501255,0.000063
9882,LaBr3-0,5616,e-,phot,45726.501255,0.000060
9882,LaBr3-0,7,gamma,nFissionHP,45726.496390,0.000211
9882,LaBr3-1,2103,e-,eIoni,14086270044.381773,0.045095
10774,EJ309-15,2799,C12,hadElastic,45756.618059,0.283603
10774,EJ309-15,2800,C12,hadElastic,45758.103843,0.151452
10774,EJ309-15,2801,proton,hadElastic,45758.374617,0.641115
10774,EJ309-15,2,neutron,nFissionHP,45755.585455,0.227049
11459,EJ309-6,5,neutron,nFissionHP,7359175751.558321,0.088861
11459,LaBr3-1,192631,e-,phot,45736.714372,0.010697
11459,LaBr3-1,192632,e-,phot,45736.714372,0.000243
11459,LaBr3-1,192633,e-,phot,45736.714372,0.000658
11459,LaBr3-1,192634,e-,phot,45736.714372,0.000011
11459,LaBr3-1,192635,e-,phot,45736.714372,0.000066
11459,LaBr3-1,192636,e-,phot,45736.714372,0.000082
11459,LaBr3-1,192512,gamma,compt,45736.714215,0.000125
11459,LaBr3-1,192513,e-,compt,45736.714215,0.001117
11459,LaBr3-1,192514,e-,compt,45736.714215,0.000056
11459,LaBr3-1,192515,e-,compt,45736.714215,0.000028
11459,LaBr3-1,192516,e-,compt,45736.714215,0.000095
11459,LaBr3-1,192517,e-,compt,45736.714215,0.000030
11459,LaBr3-1,192518,e-,compt,45736.714215,0.000043
11459,LaBr3-1,192519,e-,compt,45736.714215,0.000043
11459,LaBr3-1,168301,e-,phot,45736.601364,0.281080
11459,LaBr3-1,168302,e-,phot,45736.601364,0.027557
11459,LaBr3-1,168303,e-,phot,45736.601364,0.003850
11459,LaBr3-1,168304,e-,phot,45736.601364,0.003238
11459,LaBr3-1,168305,e-,phot,45736.601364,0.000133
11459,LaBr3-1,168306,e-,phot,45736.601364,0.000526
11459,LaBr3-1,168307,e-,phot,45736.601364,0.000051
11459,LaBr3-1,168311,e-,phot,45736.601364,0.000068
11459,LaBr3-1,168312,e-,phot,45736.601364,0.000063
11459,LaBr3-1,168313,e-,phot,45736.601364,0.000541
11459,LaBr3-1,168314,e-,phot,45736.601364,0.000068
11459,LaBr3-1,168315,e-,phot,45736.601364,0.000617
11459,LaBr3-1,168316,e-,phot,45736.601364,0.000086
11459,LaBr3-1,168321,e-,phot,45736.601364,0.000026
11459,LaBr3-1,168322,e-,phot,45736.601364,0.000068
11459,LaBr3-1,168323,e-,phot,45736.601364,0.000060
11459,LaBr3-1,168324,e-,phot,45736.601364,0.000045
11459,LaBr3-1,168325,e-,phot,45736.601364,0.000063
11459,LaBr3-1,168326,e-,phot,45736.601364,0.000060
11459,LaBr3-1,168327,e-,phot,45736.601364,0.000013
11459,LaBr3-1,168328,e-,phot,45736.601364,0.000010
11459,LaBr3-1,168329,e-,phot,45736.601364,0.000013
11459,LaBr3-1,168330,e-,phot,45736.601364,0.000060
11459,LaBr3-1,168331,e-,phot,45736.601364,0.000013
11459,LaBr3-1,166595,e-,compt,45736.572214,0.021656
11459,LaBr3-1,166596,e-,compt,45736.572214,0.000095
11459,LaBr3-1,166597,e-,compt,45736.572214,0.000043
11459,LaBr3-1,166598,e-,compt,45736.572214,0.000043
11459,LaBr3-1,116173,e-,phot,45736.605101,0.196069
11459,LaBr3-1,116174,e-,phot,45736.605101,0.004530
11459,LaBr3-1,116175,e-,phot,45736.605101,0.000634
11459,LaBr3-1,116176,e-,phot,45736.605101,0.000454
11459,LaBr3-1,131346,e-,compt,45736.529779,0.386076
11459,LaBr3-1,116177,e-,phot,45736.605101,0.000060
11459,LaBr3-1,161094,e-,compt,45736.564516,0.071922
11459,LaBr3-1,116178,e-,phot,45736.605101,0.000045
11459,LaBr3-1,161095,e-,compt,45736.564516,0.000010
11459,LaBr3-1,116179,e-,phot,45736.605101,0.000137
11459,LaBr3-1,116180,e-,phot,45736.605101,0.000026
11459,LaBr3-1,116181,e-,phot,45736.605101,0.000013
11459,LaBr3-1,116182,e-,phot,45736.605101,0.000026
11459,LaBr3-1,116183,e-,phot,45736.605101,0.000010
11459,LaBr3-1,116184,e-,phot,45736.605101,0.000013
11459,LaBr3-1,116185,e-,phot,45736.605101,0.000013
11459,LaBr3-1,116186,e-,phot,45736.605101,0.000013
11459,LaBr3-1,104396,e-,compt,45736.582802,0.151265
11459,LaBr3-1,104397,e-,compt,45736.582802,0.001445
11459,LaBr3-1,104398,e-,compt,45736.582802,0.000043
11459,LaBr3-1,104399,e-,compt,45736.582802,0.000043
11459,LaBr3-1,168317,e-,phot,45736.601364,0.000063
11459,LaBr3-1,104292,e-,compt,45736.562763,0.000969
11459,LaBr3-1,168318,e-,phot,45736.601364,0.000042
11459,LaBr3-1,104293,e-,compt,45736.562763,0.000055
11459,LaBr3-1,168319,e-,phot,45736.601364,0.000060
11459,LaBr3-1,104294,e-,compt,45736.562763,0.000082
11459,LaBr3-1,168320,e-,phot,45736.601364,0.000060
11459,LaBr3-1,104295,e-,compt,45736.562763,0.000056
11459,LaBr3-1,56203,e-,compt,45736.549180,0.636833
11459,LaBr3-1,50163,e-,compt,45736.504222,0.028353
11459,LaBr3-1,38715,e-,compt,45736.502501,0.150301
11459,LaBr3-1,19936,gamma,neutronInelastic,45736.488003,0.000054
11459,LaBr3-1,168308,e-,phot,45736.601364,0.000159
11459,LaBr3-1,33166,e-,compt,45736.661873,0.072418
11459,LaBr3-1,168309,e-,phot,45736.601364,0.000617
11459,LaBr3-1,33167,e-,compt,45736.661873,0.000043
11459,LaBr3-1,19938,e-,compt,45736.592960,0.171520
11459,LaBr3-1,192511,e-,compt,45736.714215,0.052584
11459,LaBr3-1,19939,e-,compt,45736.592960,0.000010
11459,LaBr3-1,19937,gamma,neutronInelastic,45736.488003,0.000069
11459,LaBr3-0,13339,e-,compt,6386231830667.776367,0.086216
11459,LaBr3-0,13340,e-,compt,6386231830667.776367,0.000068
11459,LaBr3-0,13341,e-,compt,6386231830667.776367,0.000045
11459,LaBr3-0,13342,e-,compt,6386231830667.776367,0.000010
11459,LaBr3-0,3134,e-,compt,6386231830667.698242,0.106944
11459,LaBr3-0,3135,e-,compt,6386231830667.698242,0.000034
11459,LaBr3-0,3136,e-,compt,6386231830667.698242,0.000044
11459,LaBr3-0,3137,e-,compt,6386231830667.774414,0.025362
11459,LaBr3-0,3138,e-,compt,6386231830667.774414,0.000224
11459,LaBr3-1,19931,neutron,neutronInelastic,45736.488003,0.015304
11459,LaBr3-0,3139,e-,compt,6386231830667.774414,0.000620
11459,LaBr3-1,19932,gamma,neutronInelastic,45736.488003,0.000141
11459,LaBr3-0,3140,e-,compt,6386231830667.774414,0.000225
11459,LaBr3-1,19933,gamma,neutronInelastic,45736.488003,0.000830
11459,LaBr3-0,3141,e-,compt,6386231830667.774414,0.000060
11459,LaBr3-1,19934,gamma,neutronInelastic,45736.488003,0.000449
11459,LaBr3-0,3142,e-,compt,6386231830667.774414,0.000042
11459,LaBr3-1,19935,Br79,neutronInelastic,45736.488003,0.050922
