# n_thermal_neutrons=50000
event_id,fission_time_ns,n_prompt_neutrons,n_prompt_gammas,fragment_A_PDG,fragment_B_PDG,n_total_chain_tracks,n_chain_neutrons,n_chain_gammas,n_chain_betas,n_chain_alphas,n_chain_ions,n_chain_other
42771,45725.365796,3,7,1000421030,1000501290,116,4,15,74,,17,6
43030,45725.316572,2,9,1000350890,1000571440,57,3,17,18,,14,5
43032,45725.403018,2,12,1000551420,1000370910,65,3,19,22,,15,6
43266,45725.446049,6,8,1000531390,1000390900,56,7,12,21,,11,5
44002,45725.528031,1,5,1000551430,1000370910,94,2,15,49,,20,8
44127,45725.349578,6,12,1000401040,1000521250,139,7,20,94,,14,4
44855,45725.394432,1,6,1000390960,1000531380,45,2,9,20,,10,4
45658,45725.363474,3,9,1000340870,1000581450,52,4,11,21,,11,5
45898,45725.495878,2,9,1000521340,1000400990,95,3,20,51,,16,5
45981,45725.363019,2,8,1000551420,1000370910,82,3,15,43,,15,6
46689,45725.317338,0,6,1000340850,1000581500,73,1,18,33,,16,5
46905,45725.327672,6,10,1000401000,1000521290,36,7,10,10,,6,3
47090,45725.417974,0,7,1000380980,1000541370,85,1,13,54,,12,5
47471,45725.516655,2,13,1000521360,1000400970,84,3,18,49,,10,4
47481,45725.396129,6,10,1000551400,1000370900,61,8,17,18,,14,4
47747,45725.423627,0,6,1000551400,1000370950,78,1,16,35,,19,7
48159,45725.533710,4,7,1000531370,1000390940,107,5,13,79,,7,3
48550,45725.469874,1,8,1000551380,1000370960,74,2,15,41,,12,4
48741,45725.353974,1,9,1000390990,1000531350,145,2,24,92,,21,6
