# n_thermal_neutrons=50000
event_id,fission_time_ns,n_prompt_neutrons,n_prompt_gammas,fragment_A_PDG,fragment_B_PDG,n_total_chain_tracks,n_chain_neutrons,n_chain_gammas,n_chain_betas,n_chain_alphas,n_chain_ions,n_chain_other
164,45725.499243,0,1,1000360850,1000561500,54,1,9,26,,14,4
323,45725.319704,1,8,1000380940,1000541400,57,2,16,17,,16,6
437,45725.531350,2,9,1000501300,1000421030,76,3,16,37,,15,5
590,45725.358989,1,5,1000401010,1000521330,106,2,17,57,,23,7
2041,45725.329573,2,11,1000360900,1000561430,120,3,19,75,,17,6
3028,45725.487020,3,9,1000551430,1000370890,110,7,15,61,,15,12
4095,45725.465324,0,12,1000531350,1000391000,57,1,20,19,,12,5
5399,45725.447810,5,7,1000521330,1000400980,120,11,14,75,,12,8
6231,45725.482727,2,11,1000401000,1000521330,93,3,19,51,,15,5
6234,45725.365558,2,6,1000400980,1000521350,73,3,11,43,,11,5
7189,45725.480463,1,7,1000391010,1000531330,95,2,13,55,,18,7
7777,45725.451261,2,8,1000370930,1000551400,72,3,16,31,,16,6
8309,45725.333060,0,8,1000340860,1000581490,71,1,17,29,,18,6
8624,45725.419418,2,8,1000541400,1000380930,97,3,21,45,,22,6
9366,45725.500646,2,9,1000370920,1000551410,107,3,13,70,,14,7
9821,45725.385728,4,11,1000380970,1000541340,37,5,14,5,,9,4
9882,45725.541244,3,11,1000521360,1000400960,74,4,17,44,,7,2
10774,45725.426947,3,7,1000360920,1000561400,98,10,18,41,,22,7
11282,45725.459727,3,6,1000360900,1000561430,64,4,12,28,,14,6
11459,45725.444027,4,5,1000541380,1000380940,231,11,30,172,,14,4
13045,45725.404808,0,7,1000511330,1000411020,92,1,15,53,,16,7
13341,45725.521726,5,9,1000380940,1000541360,37,8,11,5,,6,7
13430,45725.364074,5,10,1000541380,1000380920,167,6,24,120,,13,4
14102,45725.360601,4,10,1000561440,1000360870,61,5,16,26,,11,3
14255,45725.488273,2,7,1000330850,1000591480,133,5,17,95,,11,5
14399,45725.541196,2,6,1000370910,1000551420,48,3,15,7,,17,6
14788,45725.526409,4,8,1000521340,1000400970,65,5,14,22,,14,10
14946,45725.399037,4,10,1000521330,1000400980,62,6,14,24,,12,6
15557,45725.406502,4,6,1000360880,1000561430,94,5,13,54,,16,6
16441,45725.518166,0,6,1000390970,1000531380,59,1,12,25,,15,6
16932,45725.385821,1,10,1000421040,1000501300,181,2,21,136,,18,4
16992,45725.362320,1,6,1000561410,1000360930,104,2,18,59,,18,7
17159,45725.508618,3,9,1000380910,1000541410,81,4,15,40,,15,7
18553,45725.509046,5,10,1000400980,1000521320,53,6,13,20,,10,4
19474,45725.369958,3,11,1000561450,1000360870,170,4,29,112,,20,5
20208,45725.472245,4,8,1000511310,1000411000,125,5,17,86,,13,4
20328,45725.336218,2,7,1000531360,1000390970,36,3,12,8,,9,4
20427,45725.486851,2,6,1000581500,1000340830,76,3,18,31,,20,4
21315,45725.449713,4,13,1000551400,1000370910,83,6,23,30,,18,6
21982,45725.509306,2,2,1000521330,1000401000,46,3,5,23,,10,5
22746,45725.502029,4,9,1000551400,1000370910,97,5,15,55,,16,6
23042,45725.418078,3,23,1000501320,1000421000,90,4,35,28,,19,4
23142,45725.343506,2,9,1000350870,1000571460,114,3,16,76,,14,5
23565,45725.483052,2,10,1000561420,1000360910,72,3,23,20,,19,7
23728,45725.507376,2,10,1000380950,1000541380,69,3,19,23,,18,6
23924,45725.477340,2,8,1000561440,1000360890,121,3,14,85,,14,5
24532,45725.416343,4,10,1000340850,1000581460,58,5,15,20,,13,5
25147,45725.388385,2,5,1000541400,1000380930,90,3,12,51,,18,6
25299,45725.371687,3,9,1000380950,1000541370,42,4,13,9,,11,5
25769,45725.535667,0,7,1000561420,1000360930,238,1,24,189,,18,6
25916,45725.374816,0,4,1000541380,1000380970,55,1,11,21,,16,6
26556,45725.328656,2,12,1000411000,1000511330,69,3,23,22,,16,5
27995,45725.433882,5,9,1000521340,1000400960,54,6,18,16,,12,2
28759,45725.356915,0,7,1000380950,1000541400,278,1,29,219,,21,8
29779,45725.513579,3,9,1000370920,1000551400,62,4,17,21,,15,5
30652,45725.477701,1,11,1000531400,1000390940,104,2,22,55,,19,6
31074,45725.345977,4,9,1000551440,1000370870,89,9,17,40,,13,10
31755,45725.358773,4,8,1000541380,1000380930,67,5,18,22,,18,4
33573,45725.359394,0,7,1000551420,1000370930,66,1,18,23,,18,6
33878,45725.419549,5,5,1000521340,1000400960,35,6,10,6,,9,4
34210,45725.542763,4,10,1000380940,1000541370,33,5,12,5,,8,3
34591,45725.540081,1,7,1000380930,1000541410,114,6,16,64,,18,10
35353,45725.517871,3,8,1000370920,1000551400,66,4,11,29,,13,9
36669,45725.503875,2,2,1000571460,1000350870,128,3,12,94,,14,5
37004,45725.499728,3,5,1000360920,1000561400,128,5,14,86,,16,7
37179,45725.487119,3,8,1000360890,1000561430,81,4,13,40,,17,7
38767,45725.362156,5,17,1000360880,1000561420,86,6,24,41,,11,4
39687,45725.453973,3,10,1000491290,1000431030,90,4,20,41,,19,6
40696,45725.438903,2,9,1000561430,1000360900,106,3,16,64,,17,6
40854,45725.326930,1,4,1000521330,1000401010,125,2,16,77,,23,7
41516,45725.500072,4,5,1000551430,1000370880,93,6,8,58,,12,9
41683,45725.530779,4,4,1000360910,1000561400,86,8,11,40,,16,11
42650,45725.433923,5,9,1000571450,1000350850,78,6,19,33,,16,4
42758,45725.496126,1,11,1000541380,1000380960,124,2,20,87,,11,4
