event_id,detector_id,track_id,particle,creator_process,entry_time_ns,energy_dep_MeV
590,EJ309-15,2058,e-,compt,45726.995783,0.006095
590,EJ309-15,3,gamma,nFissionHP,45726.944236,0.000009
2041,LaBr3-0,194,e-,phot,1104484501549.701172,0.028849
2041,LaBr3-0,195,e-,phot,1104484501549.701172,0.004190
2041,LaBr3-0,196,e-,phot,1104484501549.701172,0.000526
2041,LaBr3-0,197,e-,phot,1104484501549.701172,0.000433
2041,LaBr3-0,199,e-,phot,1104484501549.701172,0.000045
2041,LaBr3-0,200,e-,phot,1104484501549.701172,0.000065
2041,LaBr3-0,201,e-,phot,1104484501549.701172,0.000068
2041,LaBr3-0,202,e-,phot,1104484501549.701172,0.000030
2041,LaBr3-0,203,e-,phot,1104484501549.701172,0.000063
2041,LaBr3-0,204,e-,phot,1104484501549.701172,0.000010
2041,LaBr3-0,205,e-,phot,1104484501549.701172,0.000048
2041,LaBr3-0,206,e-,phot,1104484501549.701172,0.000026
2041,LaBr3-0,207,e-,phot,1104484501549.701172,0.000010
2041,LaBr3-0,208,e-,phot,1104484501549.701172,0.000013
2041,LaBr3-0,209,e-,phot,1104484501549.701172,0.000010
2041,LaBr3-0,210,e-,phot,1104484501549.701172,0.000013
2041,LaBr3-0,211,e-,phot,1104484501549.701172,0.000010
2041,LaBr3-0,192,gamma,RadioactiveDecay,1104484501549.700928,0.000335
3028,EJ309-47,16195,proton,hadElastic,45750.838777,1.010589
3028,EJ309-47,16196,proton,hadElastic,45751.022193,0.495523
3028,EJ309-47,2,neutron,nFissionHP,45750.051522,0.014737
3028,EJ309-47,16197,proton,hadElastic,45753.882218,0.440873
3028,EJ309-42,9,gamma,nFissionHP,45727.074599,0.000014
3028,EJ309-42,15965,e-,compt,45727.196323,0.017063
3028,EJ309-5,3426,e-,RadioactiveDecay,1231954474900.247559,0.979424
4095,EJ309-30,200,e-,compt,45727.150743,0.042255
4095,EJ309-30,201,e-,compt,45727.150743,0.000273
4095,EJ309-30,3,gamma,nFissionHP,45727.052721,0.000018
