# n_thermal_neutrons=5000
event_id,fission_time_ns,n_prompt_neutrons,n_prompt_gammas,fragment_A_PDG,fragment_B_PDG,n_total_chain_tracks,n_chain_neutrons,n_chain_gammas,n_chain_betas,n_chain_alphas,n_chain_ions,n_chain_other
164,45725.499243,0,1,1000360850,1000561500,2690,1,9,2662,,14,4
323,45725.319704,1,8,1000380940,1000541400,1257,2,16,1217,,16,6
437,45725.531350,2,9,1000501300,1000421030,473,3,16,434,,15,5
590,45725.358989,1,5,1000401010,1000521330,2058,2,17,2009,,23,7
2041,45725.329573,2,11,1000360900,1000561430,3293,3,19,3248,,17,6
3028,45725.487020,3,9,1000551430,1000370890,3508,7,15,3459,,15,12
4095,45725.465324,0,12,1000531350,1000391000,203,1,20,165,,12,5
